english	translation	category	sub_category	source
Toggle	Alternar	inventoryActions	item	Teleport crystal (4)
Uncharge	Descarregar	inventoryActions	item	Broodoo shield (10)
Scan	Escanear	inventoryActions	item	Commorb
Contact	Contatar	inventoryActions	item	Commorb
Playback	Reproduzir	inventoryActions	item	Commorb
Talk-At	Falar-com	inventoryActions	item	Fishbowl
Play-With	Brincar-Com	inventoryActions	item	Fishbowl
Feed	Alimentar	inventoryActions	item	Fishbowl
Untangle	Separar	inventoryActions	item	Fishbowl and net
Check-charge	Verificar-cargas	inventoryActions	item	Camulet
Display	Exibir	inventoryActions	item	Zombie head
Question	Pergunta	inventoryActions	item	Zombie head
Chant	Entoar	inventoryActions	item	Demonic sigil
Feel	Sentir	inventoryActions	item	Enchanted key
Remove-rat	Tirar-rato	inventoryActions	item	Rat pole
Jump	Pular	inventoryActions	item	Blue marionette
Bow	Cumprimentar	inventoryActions	item	Blue marionette
Talk-to	Falar-com	inventoryActions	item	Progress hat
Return	Levar para Pete	inventoryActions	item	Prison key
Smell	Cheirar	inventoryActions	item	Spicy stew
Release-all	Libertar-todos	inventoryActions	item	Balloon toad
Wind	Dar corda	inventoryActions	item	Toy soldier
Separate	Separar	inventoryActions	item	Kbd heads
Unstuff	Des-empalhar	inventoryActions	item	Stuffed crawling hand
Varrock	Varrock	inventoryActions	item	Varrock teleport
Grand Exchange	Mercado Geral (GE)	inventoryActions	item	Varrock teleport
Camelot	Camelot	inventoryActions	item	Camelot teleport
Seers' Village	Aldeia dos Videntes	inventoryActions	item	Camelot teleport
Watchtower	Torre de Vigia	inventoryActions	item	Watchtower teleport
Yanille	Yanille	inventoryActions	item	Watchtower teleport
Inside	Interior	inventoryActions	item	Teleport to house
Outside	Exterior	inventoryActions	item	Teleport to house
Group	Grupo	inventoryActions	item	Teleport to house
Info	Info	inventoryActions	item	Enchant sapphire or opal
Dust-hands	Jogar cinzas nas mãos	inventoryActions	item	Ground ashes
Talk-To	Falar-Com	inventoryActions	item	Monkey
Invoke	Invocar	inventoryActions	item	Skull sceptre
Divine	Divino	inventoryActions	item	Skull sceptre
Convert	Converter	inventoryActions	item	Pharaoh's sceptre
Launch	Lançar	inventoryActions	item	Grand seed pod
Squash	Esmagar	inventoryActions	item	Grand seed pod
Pour	Derramar	inventoryActions	item	Mixed blizzard
Add-ingreds	Add-ingreds	inventoryActions	item	Mixed saturday
Unpack	Abrir conjunto	inventoryActions	item	Proselyte harness m
Shape-Earth	Moldar-Terra	inventoryActions	item	Page 1
Shape-Air	Moldar-Ar	inventoryActions	item	Page 1
Shape-Fire	Moldar-Fogo	inventoryActions	item	Page 2
Shape-Water	Moldar-Água	inventoryActions	item	Page 2
Shape-Mind	Moldar-Mente	inventoryActions	item	Page 3
Teleport	Teleportar	inventoryActions	item	Strength cape
Toggle Effect	Alternar Efeito	inventoryActions	item	Defence cape
Toggle Respawn	Alternar Renascimento	inventoryActions	item	Defence cape
Commune	Comungar	inventoryActions	item	Ranging cape
Spellbook	Livro de feitiços	inventoryActions	item	Magic cape
Stamina Boost	Boost-Estamina	inventoryActions	item	Agility cape
Tele to POH	Teleporte para a POH	inventoryActions	item	Construct. cape
Fishing Guild	Guilda dos Pescadores	inventoryActions	item	Fishing cape
Otto's Grotto	Gruta do Otto	inventoryActions	item	Fishing cape
Trim	Enfeitar	inventoryActions	item	Quest point cape
Load	Carregar	inventoryActions	item	White destabiliser
Split	Separar	inventoryActions	item	Cap and goggles
Lay	Armar	inventoryActions	item	Bird snare
Check totals	Ver quantidade	inventoryActions	item	Butterfly net
Bank	Banco	inventoryActions	item	Imp-in-a-box(2)
Translate	Traduzir	inventoryActions	item	Research notes
Write-Role	Escrever-Função	inventoryActions	item	Scroll
Clear	Limpar	inventoryActions	item	Scroll
Tell-red	Dizer-vermelho	inventoryActions	item	Attacker horn
Tell-green	Dizer-verde	inventoryActions	item	Attacker horn
Tell-blue	Dizer-azul	inventoryActions	item	Attacker horn
Medic	Médico	inventoryActions	item	Attacker horn
Look-in	Observar	inventoryActions	item	Collection bag
Tell-tofu	Dizer-tofu	inventoryActions	item	Healer horn
Tell-crackers	Dizer-biscoitos	inventoryActions	item	Healer horn
Tell-worms	Dizer-minhocas	inventoryActions	item	Healer horn
Tell-meat	Dizer-carne	inventoryActions	item	Defender horn
Tell-controlled	Dizer-controlado	inventoryActions	item	Collector horn
Tell-accurate	Dizer-preciso	inventoryActions	item	Collector horn
Tell-aggressive	Dizer-agressivo	inventoryActions	item	Collector horn
Tell-defensive	Dizer-defensivo	inventoryActions	item	Collector horn
Check tax	Contar tributos	inventoryActions	item	Empty tax bag
Check taxes	Contar tributos	inventoryActions	item	Bulging taxbag
Pray-over	Orar-para	inventoryActions	item	Blessed lamp
Recite-prayer	Recitar-oração	inventoryActions	item	Prayer book
Operate	Operar	inventoryActions	item	Beacon ring
Gem Mine	Mina de Gemas	inventoryActions	item	Karamja gloves 3
Loot	Abrir	inventoryActions	item	Baby impling jar
Impling-jar	Gerar-pote de pestinha	inventoryActions	item	Jar generator
Butterfly-jar	Gerar-pote de borboleta	inventoryActions	item	Jar generator
Toggle-view	Visão geral	inventoryActions	item	Impling scroll
Copy to log	Tomar notas	inventoryActions	item	Ancient page
Discard	Descartar	inventoryActions	item	Anti-dragon shield (nz)
Take-one	Pegar-uma	inventoryActions	item	Herb box
Bank-all	Depositar-tudo	inventoryActions	item	Herb box
Refund	Reembolsar	inventoryActions	item	Scroll of redirection
Revert	Reverter	inventoryActions	item	Rimmington teleport
Dismantle	Desmontar	inventoryActions	item	Armadyl godsword
Disassemble	Desmontar	inventoryActions	item	Slayer helmet
Deposit	Depositar	inventoryActions	item	Looting bag
Settings	Configurações	inventoryActions	item	Looting bag
Spawn Item	Spawn Item	inventoryActions	item	Holiday tool
Dissolve	Dissolver	inventoryActions	item	Abyssal tentacle
Check completion	Checar progresso	inventoryActions	item	Challenge scroll (elite)
Check rank	Ver ranque	inventoryActions	item	Druidic wreath
Configure	Configurar	inventoryActions	item	Annakarl teleport
Extract	Pegar ninhos	inventoryActions	item	Nest box (empty)
Unload	Descarregar	inventoryActions	item	Toxic blowpipe
Untrim	Tirar enfeite	inventoryActions	item	Quest point cape (t)
Duradel	Duradel	inventoryActions	item	Karamja gloves 4
Ecto Teleport	Ecto Teleporte	inventoryActions	item	Morytania legs 1
Burgh Teleport	Teleporte a Rottemburgo	inventoryActions	item	Morytania legs 3
Activity	Atividade	inventoryActions	item	Bonecrusher
Recharge-prayer	Recarregar-oração	inventoryActions	item	Falador shield 1
Monastery Teleport	Teleporte ao Monastério	inventoryActions	item	Ardougne cloak 1
Farm Teleport	Teleporte à Fazenda	inventoryActions	item	Ardougne cloak 2
Energy	Corrida	inventoryActions	item	Explorer's ring 1
Alchemy	Alquimia	inventoryActions	item	Explorer's ring 1
Functions	Funções	inventoryActions	item	Explorer's ring 2
Nardah	Nardah	inventoryActions	item	Desert amulet 4
Kalphite cave	Caverna Kalphita	inventoryActions	item	Desert amulet 4
Emote	Ação	inventoryActions	item	Diango's claws
Redeem	Resgatar	inventoryActions	item	Old school bond
Restore	Restaurar	inventoryActions	item	Tanzanite helm (uncharged)
Scramble	Mexido	inventoryActions	item	Rotten egg
Poach	Pochê	inventoryActions	item	Rotten egg
Fry	Frito	inventoryActions	item	Rotten egg
Pickle	Em conserva	inventoryActions	item	Rotten egg
Consume	Consumir	inventoryActions	item	Saradomin's light
Teleports	Teleportes	inventoryActions	item	Max cape
Metamorphosis	Metamorfose	inventoryActions	item	Beaver
Chew	Comer	inventoryActions	item	Rotten onion
Take-grubs	Pegar vermes	inventoryActions	item	Bucket of sandworms
Pack	Empacotar	inventoryActions	item	Shayzien supply crate
Check charges	Verificar-cargas	inventoryActions	item	Chronicle
Transform	Virar-macaco	inventoryActions	item	Monkey
Lap-count	Contar-voltas	inventoryActions	item	Monkey
Combine	Combinar	inventoryActions	item	Torn clue scroll (part 1)
Recoil settings	Configurar	inventoryActions	item	Ring of suffering (r)
Pages	Páginas	inventoryActions	item	Tome of fire
Invigorate	Revigorar	inventoryActions	item	Imbued heart
Look at	Olhar para	inventoryActions	item	Snow globe
Snow	Fazer nevar	inventoryActions	item	Snow globe
Options	Opções	inventoryActions	item	Amulet of chemistry
Change-style	Mudar-estilo	inventoryActions	item	Rainbow scarf
Chill	Refrescar	inventoryActions	item	Hand fan
Remove default	Remover padrão	inventoryActions	item	Master scroll book
Throw-water	Jogar-água	inventoryActions	item	Heat-proof vessel
Throw-water direction	Jogar-água direção	inventoryActions	item	Heat-proof vessel
Check-level	Checar-nível	inventoryActions	item	Heat-proof vessel
Roll	Rolar	inventoryActions	item	Hoop snake
Channel	Canalizar	inventoryActions	item	Merfolk trident
Puff	Respirar	inventoryActions	item	Pufferfish
Take fish	Pegar-peixes	inventoryActions	item	Bowl of fish
Reminisce	Relembrar	inventoryActions	item	Kharedst's memoirs
Toggle-absorption	Configurar	inventoryActions	item	Bracelet of ethereum
Elite	Elite	inventoryActions	item	Useful rock
Master	Master	inventoryActions	item	Useful rock
Assessment	Assessment	inventoryActions	item	Useful rock
Control	Control	inventoryActions	item	Rotten cabbage
Spectate	Spectate	inventoryActions	item	Rotten cabbage
Charge	Carregar	inventoryActions	item	Sanguinesti staff
Scry	Observar	inventoryActions	item	Oculus orb
Bloom	Santificar	inventoryActions	item	Ivandis flail
Ver Sinhaza	Ver Sinhaza	inventoryActions	item	Drakan's medallion
Darkmeyer	Darkmeyer	inventoryActions	item	Drakan's medallion
Slepe	Slepe	inventoryActions	item	Drakan's medallion
Tele	Teleportar	inventoryActions	item	Rotten carrot
Kill Bot	Matar Bot	inventoryActions	item	Rotten carrot
Kill Area	Matar Área	inventoryActions	item	Rotten carrot
Change	Alterar	inventoryActions	item	Sinhaza shroud tier 1
Auto-afk	auto-afk	inventoryActions	item	Escape crystal
Open-all	Abrir-tudo	inventoryActions	item	Coin pouch
Swap	Trocar	inventoryActions	item	Thammaron's sceptre (u)
Close	Fechar	inventoryActions	item	Looting bag
Weiss	Weiss	inventoryActions	item	Icy basalt
Troll Stronghold	Forte dos Trolls	inventoryActions	item	Stony basalt
Fletch	Fabricar	inventoryActions	item	Celastrus bark
Kourend Woodland	Bosque Kourend	inventoryActions	item	Rada's blessing 1
Mount Karuulm	Monte Karuulm	inventoryActions	item	Rada's blessing 3
Check/Uncharge	Checar/Descarregar	inventoryActions	item	Bonecrusher necklace
Take	Pegar	inventoryActions	item	Seed pack
Take-all	Pegar-tudo	inventoryActions	item	Seed pack
Fill/Check	Encher/Checar	inventoryActions	item	Bottomless compost bucket
Easter dance	Dança da Páscoa	inventoryActions	item	Giant easter egg
Cut-open	Cortar-ao meio	inventoryActions	item	Giant egg sac(full)
Check-eggs	Checar-ovos	inventoryActions	item	Giant egg sac(full)
Remove-eggs	Remover-ovos	inventoryActions	item	Giant egg sac
Scrutinise	Examinar	inventoryActions	item	Guthixian icon
Chase	Perseguir	inventoryActions	item	Cat ears
Last-destination	Último-destino	inventoryActions	item	Fairy mushroom
Teleport-back	Teleportar-de volta	inventoryActions	item	Crystal of memories
Check-memories	Checar-memórias	inventoryActions	item	Crystal of memories
Withdraw	Retirar	inventoryActions	item	Extradimensional bag
Settings/Destroy	Configurar/Destruir	inventoryActions	item	Extradimensional bag
League Setup	Configurar Leagues	inventoryActions	item	League tomato
League 2 Debug	Leagues 2 Debug	inventoryActions	item	League tomato
League 3 Debug	Leagues 3 Debug	inventoryActions	item	League tomato
Toggle-colour	Alternar-cor	inventoryActions	item	Soul cape
Scatter	Espalhar	inventoryActions	item	Fiendish ashes
Trollheim	Trollheim	inventoryActions	item	Ghommal's hilt 1
Mor Ul Rek	Mor UI Rek	inventoryActions	item	Ghommal's hilt 4
Unattune	Dessintonizar	inventoryActions	item	Sigil of resilience
Attune	Sintonizar	inventoryActions	item	Sigil of resilience
Make scary noise	Fazer barulho assustador	inventoryActions	item	Jered's empty wine bottle
Reverse	Reverter	inventoryActions	item	Ugly halloween jumper (orange)
Wake-ghost	Acordar-fantasma	inventoryActions	item	Haunted wine bottle
Read-tag	Ler-etiqueta	inventoryActions	item	Secret santa present (red)
Change-colour	Mudar-cor	inventoryActions	item	Secret santa present (red)
Dismantle kit	Tirar kit	inventoryActions	item	Abyssal whip (or)
Change Spellbook	Mudar livro de feitiços	inventoryActions	item	Arcane grimoire
Previous Spellbook	Livro de feitiços anterior	inventoryActions	item	Arcane grimoire
Check Previous	Ver anterior	inventoryActions	item	Arcane grimoire
Unimbue	Remover encantamento	inventoryActions	item	Wristbands of the arena (i)
Last Destination	Último Destino	inventoryActions	item	Ring of the elements
Last-Teleport	Último-Teleporte	inventoryActions	item	Pharaoh's sceptre
Attach	Acoplar	inventoryActions	item	Cursed phalanx
Place	Colocar	inventoryActions	item	Mirror
Withdraw 1	Retirar 1	inventoryActions	item	Supplies
Withdraw All	Retirar Tudo	inventoryActions	item	Supplies
Resupply	Reabastecer	inventoryActions	item	Supplies
Apply	Aplicar	inventoryActions	item	Silk dressing (2)
Crack	Quebrar	inventoryActions	item	Blessed crystal scarab (2)
Crush	Esmagar	inventoryActions	item	Smelling salts (2)
Take-from	Pegar-de	inventoryActions	item	Infinite money bag
Help	Ajuda	inventoryActions	item	Fresh start helper
Sniff	Cheirar	inventoryActions	item	Smelly sock
Destinations	Destinos	inventoryActions	item	Ghommal's avernic defender 5
Craft	Fazer	inventoryActions	item	Secateurs blade
History	Histórico	inventoryActions	item	Mulch
Recall	Retornar	inventoryActions	item	Blackstone fragment
Squeeze	Apertar	inventoryActions	item	Detonator
Set-off	Detonar	inventoryActions	item	Stink bomb
Fairy-ring	Anel-das-fadas	inventoryActions	item	Trinket of fairies
Spirit-tree	Árvore-espiritual	inventoryActions	item	Trinket of fairies
Summon	Invocar	inventoryActions	item	Trinket of undead
Nexus	Nexus	inventoryActions	item	Globetrotter pendant
Jewellery	Jóias	inventoryActions	item	Globetrotter pendant
Note-Quantity	Cupom-quantidade	inventoryActions	item	Banker's note
Un-note-Quantity	Converter para não cupom-qnt.	inventoryActions	item	Banker's note
Dismiss	Dispensar	inventoryActions	item	Guardian horn
Toggle-modes	Alternar-modos	inventoryActions	item	Guardian horn
Change-outfit	Mudar-vestes	inventoryActions	item	Guardian horn
Change Prayerbook	Alterar livro de orações	inventoryActions	item	Ruinous powers
Toggle-activity	Configurar	inventoryActions	item	Echo boots
Signal	Chamar	inventoryActions	item	Basic quetzal whistle
Rumour	Rumor	inventoryActions	item	Basic quetzal whistle
Break-down	Quebrar	inventoryActions	item	Blessed bone statuette
Edgeville	Fronteiriça (Edgeville)	inventoryActions	item	Amulet of glory(1)
Karamja	Karamja	inventoryActions	item	Amulet of glory(1)
Draynor Village	Vila Draynor	inventoryActions	item	Amulet of glory(1)
Al Kharid	Al-Kharid	inventoryActions	item	Amulet of glory(1)
Tan Leather	Curtir Couro	inventoryActions	item	Leather
Recharge Dragonstone	Recarregar Dragolito	inventoryActions	item	Dead orb
Emir's Arena	Arena do Emir	inventoryActions	item	Ring of dueling(8)
Castle Wars	Guerra das Cidadelas (CW)	inventoryActions	item	Ring of dueling(8)
Ferox Enclave	Enclave Ferox	inventoryActions	item	Ring of dueling(8)
Fortis Colosseum	Fortis Colosseum	inventoryActions	item	Ring of dueling(8)
Bloom	Abençoar	inventoryActions	item	Silver sickle (b)
Rellekka	Rellekka	inventoryActions	item	Enchanted lyre(1)
Waterbirth Island	Ilha da Natividade (Waterbirth)	inventoryActions	item	Enchanted lyre(1)
Neitiznot	Nénão (Neitiznot)	inventoryActions	item	Enchanted lyre(1)
Jatiszo	Éssim (Jatiszo)	inventoryActions	item	Enchanted lyre(1)
Burthorpe	Burthorpe	inventoryActions	item	Games necklace(8)
Barbarian Outpost	Posto Avançado Bárbaro	inventoryActions	item	Games necklace(8)
Corporeal Beast	Fera Corpórea	inventoryActions	item	Games necklace(8)
Tears of Guthix	Lágrimas de Guthix	inventoryActions	item	Games necklace(8)
Wintertodt Camp	Acampamento Wintertodt	inventoryActions	item	Games necklace(8)
Surrender	Desistir	inventoryActions	item	Saradomin cloak
Fling	Jogar-ovos	inventoryActions	item	Easter basket
Teleport	Teleporte	inventoryActions	item	Camulet
Geomancy	Geomancia	inventoryActions	item	Watering can
Boost	Boost	inventoryActions	item	Attack cape
Warriors' Guild	Guilda dos Guerreiros	inventoryActions	item	Strength cape
Lunar	Lunar	inventoryActions	item	Magic cape
Arceuus	Arceuus	inventoryActions	item	Magic cape
Standard	Padrão	inventoryActions	item	Magic cape
Ancient	Antigo (Ancient)	inventoryActions	item	Magic cape
Brimhaven	Brimhaven	inventoryActions	item	Construct. cape
Home	Casa	inventoryActions	item	Construct. cape
Rimmington	Rimmington	inventoryActions	item	Construct. cape
Taverley	Taverley	inventoryActions	item	Construct. cape
Pollnivneach	Pollnivneach	inventoryActions	item	Construct. cape
Hosidius	Hosidius	inventoryActions	item	Construct. cape
Aldarin	Aldarin	inventoryActions	item	Construct. cape
Hunter Guild	Guilda de Caça	inventoryActions	item	Hunter cape
Carnivorous Chinchompas	Chinchompas Carnivoras	inventoryActions	item	Hunter cape
Black Chinchompas	Chinchompas Negras	inventoryActions	item	Hunter cape
Check Totals	Verificar quantidade	inventoryActions	item	Butterfly net
Prance	Prance	inventoryActions	item	Reindeer hat
Farming Guild	Guilda de Agricultura	inventoryActions	item	Skills necklace(4)
Mining Guild	Guilda dos Mineradores	inventoryActions	item	Skills necklace(4)
Crafting Guild	Guilda dos Artesãos (Crafting Guild)	inventoryActions	item	Skills necklace(4)
Cooking Guild	Guilda dos Cozinheiros (Cooking Guild)	inventoryActions	item	Skills necklace(4)
Woodcutting Guild	Guilda dos Lenhadores (WC Guild)	inventoryActions	item	Skills necklace(4)
Champions' Guild	Guilda dos Campeões (CG)	inventoryActions	item	Combat bracelet(4)
Monastery	Monastério	inventoryActions	item	Combat bracelet(4)
Ranging Guild	Guilda do Arqueiro (Ranging Guild)	inventoryActions	item	Combat bracelet(4)
Fossil Island	Ilha Fóssil	inventoryActions	item	Digsite pendant (1)
Lithkren Dungeon	Masmorra Lithkren	inventoryActions	item	Digsite pendant (1)
Digsite	Sítio de Escavação	inventoryActions	item	Digsite pendant (1)
Fremennik Dungeon	Masmorra Fremennik	inventoryActions	item	Slayer ring (8)
Dark Beasts	Feras Sombrias	inventoryActions	item	Slayer ring (8)
Master	Mestre	inventoryActions	item	Slayer ring (8)
Stronghold	Fortaleza	inventoryActions	item	Slayer ring (8)
Slayer Tower	Torre dos Exterminadores (ST)	inventoryActions	item	Slayer ring (8)
Tarn's Lair	Covil de Tarn	inventoryActions	item	Slayer ring (8)
Miscellania	Miscelânea	inventoryActions	item	Ring of wealth (5)
Falador	Falador	inventoryActions	item	Ring of wealth (5)
Dondakan	Dondakan	inventoryActions	item	Ring of wealth (5)
Boss Log	Coleção de chefes	inventoryActions	item	Ring of wealth (5)
Coin Collection	Coleção de moedas	inventoryActions	item	Ring of wealth (5)
Tip	Tirar chapéu	inventoryActions	item	Fedora
Basic Reanimation	Reanimação Básica	inventoryActions	item	Easter
Check Rank	Checar Ranque	inventoryActions	item	Druidic wreath
Karamja (Shilo)	Karamja (Shilo)	inventoryActions	item	Achievement diary cape (t)
Western Provinces	Províncias Ocidentais (WP)	inventoryActions	item	Achievement diary cape (t)
Karamja (Jungle)	Karamja (Selva)	inventoryActions	item	Achievement diary cape (t)
Twiggy O'Korn	Twiggy O'Korn	inventoryActions	item	Achievement diary cape (t)
Karamja (Mor Ul Rek)	Karamja (Mor UI Rek)	inventoryActions	item	Achievement diary cape (t)
Ardougne	Ardougne	inventoryActions	item	Achievement diary cape (t)
Desert	Deserto	inventoryActions	item	Achievement diary cape (t)
Kourend & Kebos	Kourend & Kebos	inventoryActions	item	Achievement diary cape (t)
Lumbridge & Draynor	Lumbridge & Draynor	inventoryActions	item	Achievement diary cape (t)
Fremennik	Fremennik	inventoryActions	item	Achievement diary cape (t)
Morytania	Moritânia	inventoryActions	item	Achievement diary cape (t)
Kandarin	Kandarin	inventoryActions	item	Achievement diary cape (t)
Wilderness	Terra Selvagem	inventoryActions	item	Achievement diary cape (t)
Slayer Master	Mestre de Extermínio	inventoryActions	item	Karamja gloves 4
Ectofuntus Pit	Fundo do Ectofuntus	inventoryActions	item	Morytania legs 1
Burgh de Rott	Rottemburgo (Burgh de Rott)	inventoryActions	item	Morytania legs 3
Recharge Prayer	Recarregar Oração	inventoryActions	item	Falador shield 1
Kandarin Monastery	Monastério de Kandarin	inventoryActions	item	Ardougne cloak 1
Ardougne Farm	Ardougne: Lotes de Agricultura	inventoryActions	item	Ardougne cloak 2
POH Portals	Portais POH	inventoryActions	item	Max cape
Carnivorous chinchompas	Chinchompas Carnivoras	inventoryActions	item	Max cape
Ring of Life	Anel da Vida	inventoryActions	item	Max cape
Black chinchompas	Chinchompas Negras	inventoryActions	item	Max cape
Warrior's Guild	Guilda do Guerreiro	inventoryActions	item	Max cape
Guild Teleports	Teleportes de Guildas	inventoryActions	item	Max cape
Skilling Areas	Áreas de Treinamento (Skilling)	inventoryActions	item	Max cape
Xeric's Lookout	Mirante Xeric (Xeric's Lookout)	inventoryActions	item	Xeric's talisman
Xeric's Glade	Paz de Xeric	inventoryActions	item	Xeric's talisman
Xeric's Inferno	Inferno de Xeric	inventoryActions	item	Xeric's talisman
Xeric's Heart	Coração de Xeric	inventoryActions	item	Xeric's talisman
Xeric's Honour	Honra de Xeric	inventoryActions	item	Xeric's talisman
Check Charges	Verificar cargas	inventoryActions	item	Chronicle
Teleport to Target	Teleportar ao Alvo	inventoryActions	item	Dead orb
Recoil Settings	Configurar Recuo	inventoryActions	item	Ring of suffering (r)
Swap	Trocar	inventoryActions	item	Bruma torch
The Outpost	O Posto Avançado	inventoryActions	item	Necklace of passage(5)
Eagles' Eyrie	Pico das Águias (Piscatoris)	inventoryActions	item	Necklace of passage(5)
Wizards' Tower	Torre dos Magos	inventoryActions	item	Necklace of passage(5)
Bandit Camp	Acampamento dos Bandidos	inventoryActions	item	Burning amulet(5)
Lava Maze	Labirinto de Lava	inventoryActions	item	Burning amulet(5)
Chaos Temple	Templo do Caos	inventoryActions	item	Burning amulet(5)
Throw-water north	Jogar-água norte	inventoryActions	item	Heat-proof vessel
Throw-water east	Jogar-água leste	inventoryActions	item	Heat-proof vessel
Throw-water south	Jogar-água sul	inventoryActions	item	Heat-proof vessel
Throw-water west	Jogar-água oeste	inventoryActions	item	Heat-proof vessel
Recharge	Recarregar	inventoryActions	item	Ancient wyvern shield
Lunch by the Lancalliums	Piquenique às Flores	inventoryActions	item	Kharedst's memoirs
The Fisher's Flute	A Flauta do Pescador	inventoryActions	item	Kharedst's memoirs
History and Hearsay	História e Rumor	inventoryActions	item	Kharedst's memoirs
Jewellery of Jubilation	Jóias da Jubilação	inventoryActions	item	Kharedst's memoirs
A Dark Disposition	Disposição Sombria	inventoryActions	item	Kharedst's memoirs
Toggle absorption	Alternar-absorção	inventoryActions	item	Bracelet of ethereum
