english	translation	category	sub_category	source
Coins	Moedas	dialogue	Abbot Langley	Abbot Langley
Runes	Runas	dialogue	Abbot Langley	Abbot Langley
Seeds	Sementes	dialogue	Abbot Langley	Abbot Langley
Prayer experience	XP em Oração	dialogue	Abbot Langley	Abbot Langley
Grr ... Get out of my way...	Grr... Sai do meu caminho...	dialogue	Aberab	Aberab
What can I help you with, dear?	No que posso te ajudar, querido?	dialogue	Abigaila	Abigaila
I'm Abigaila, from Morytania. It's a terrible place, run by the vampyres. They visit the towns and collect everyone's blood for food!	Sou Abigaila, de Moritânia. É um lugar terrível, governado por Vampiros. Eles vêm às nossas cidades chupar nosso sangue para se alimentarem!	dialogue	Abigaila	Abigaila
I tried for years to escape, with my son, Suro, to make a better life for ourselves in Misthalin. I scraped together enough money to bribe a boatman to get us out.	Eu tentei escapar por anos, com meu filho, Suro, para buscar uma vida melhor em Misthalin. Eu consegui juntar uns trocados o suficientes para subornar um barqueiro a nos tirar de lá.	dialogue	Abigaila	Abigaila
The journey was tough. Some men in pink hoods attacked our boat, shouting at us to go back where we belonged, and to keep out of their country. In the struggle, the boat overturned.	A viagem foi difícil. Alguns homens de capuzes rosas atacaram nosso barco, gritando para voltarmos de onde viemos, e ficarmos longe do país deles. Na confusão, o nosso barco virou.	dialogue	Abigaila	Abigaila
It was dark, and I couldn't find Suro in the water. I swam as deep as I could, until my lungs screamed, but I couldn't find him. He wasn't good at swimming.	Estava escuro, e eu não conseguia achar meu Suro na água. Eu mergulhei mais fundo que meus pulmões permitiram, mas não o encontrei. Ele nunca nadou bem.	dialogue	Abigaila	Abigaila
Eventually I got myself to the shore. The sun was rising, and I found Suro there. On the shore, where the water had dumped his... body.	Eventualmente, acordei na areia da costa. O sol estava nascendo, e me deparei com o corpo do Suro... Trazido pelas águas comigo.	dialogue	Abigaila	Abigaila
*sob*	*choro*	dialogue	Abigaila	Abigaila
I've done alright in Misthalin, I guess. I know a bit of magic, and the local gentry pay me well for my scrying skills. I'm good at turning a profit on Grand Exchange trades too.	Eu tenho vivido bem em Misthalin, apesar de tudo. Sei um pouco de mágica, e os locais me pagam bem para prestar serviços de vidência a eles. Também tenho conseguido lucrar com vendas no Mercado Geral.	dialogue	Abigaila	Abigaila
Anyway, I'm able to rent a room in Lumbridge, and to buy food. I'm not being a burden on anyone, and there are no vampyres coming for my blood.	Enfim, hoje tenho alugado um quarto em Lumbridge, e posso comprar comida. Não estou sendo um fardo para ninguém, e não há mais vampiros no meu cangote.	dialogue	Abigaila	Abigaila
I am free!	Sou uma mulher livre!	dialogue	Abigaila	Abigaila
But I haven't forgotten my people in the east. There's one vampyre there who runs a place she calls the Theatre of Blood, challenging humans to face monsters in her arena.	Mas não esqueci de meu povo do leste. Tem uma vampira lá que gere um lugar chamado Theatre of Blood, desafiando humanos a enfrentar monstros em sua arena.	dialogue	Abigaila	Abigaila
My husband went there, trying to win freedom from the blood-gatherers by surviving her arena, but he never returned. No-one does.	Meu marido foi até lá, tentando ganhar sua liberdade dos sugadores-de-sangue ao lutar na arena. Mas ele nunca retornou. Ninguém consegue retornar.	dialogue	Abigaila	Abigaila
So now I pass my spare time scrying on the Theatre of Blood, watching other adventurers there. You can have a look, if you like.	Então hoje em dia eu passo meu tempo livre adivinhando aventureiros no Theatre of Blood. Você pode olhar, se quiser.	dialogue	Abigaila	Abigaila
I'm afraid I can't let you use my scrying ball now, dear. Clear out everything you're carrying, and make sure you're not sick or poisoned.	Receio que não posso permitir, querido. Livre-se de tudo que estiver carregando, e garanta que você não está doente ou envenenado.	dialogue	Abigaila	Abigaila
Who are you and what are you doing?	Quem é você e o que está fazendo?	dialogue	Abigaila	Abigaila
I'd like to look in your scrying ball.	Eu gostaria de olhar na sua esfera de adivinhação.	dialogue	Abigaila	Abigaila
Observe a specific party	Observar um grupo específico	dialogue	Abigaila	Abigaila
Observe recent party	Observar o grupo mais recente	dialogue	Abigaila	Abigaila
Cancel	Cancelar	dialogue	Abigaila	Abigaila
I'll leave you be.	Te deixarei em paz.	dialogue	Abigaila	Abigaila
Help! Help!	Socorro! Socorro!	dialogue	Abigale	Abigale
We were invited to a house party on an island not far from here... Something felt wrong about the whole thing but we went anyway...	Nós fomos convidados para uma festa em uma casa, numa ilha não tão longe... Tinha algo ruim no ar, mas fomos mesmo assim...	dialogue	Abigale	Abigale
The house seemed pretty creepy, but everything was going fine, we were all having a good time...	A mansão parecia bem assustadora, mas tudo estava indo bem, estávamos nos divertindo...	dialogue	Abigale	Abigale
...and that's when we got attacked...	...e foi aí que fomos atacados...	dialogue	Abigale	Abigale
Hewey bought me enough time to find an old boat. I went back to get him but it was too late. I'm scared that he won't make it.	Hewey conseguiu nos dar tempo suficiente para encontrar um barco antigo.	dialogue	Abigale	Abigale
You have to do something... they can't get away with this!	Você tem que fazer algumam coisa... eles não podem se livrar dessa!	dialogue	Abigale	Abigale
That psycho is still out there, you have to bring them to justice.	O assassino ainda está à solta lá, você tem que levá-lo à justiça.	dialogue	Abigale	Abigale
The boat we escaped on is just over there, you can use it to get to the island.	O barco que usamos para fugir está bem ali, você pode usá-lo para navegar até a ilha.	dialogue	Abigale	Abigale
Please, you need to make sure they don't get away with this! You can use the boat over there to get to the island we escaped from.	Por favor, você precisa garantir que eles não escapem da justiça! Você pode usar o barco ali para navegar até a ilha de que nós fugimos.	dialogue	Abigale	Abigale
The player unmasks the killer, revealing Abigale as the culprit.	O jogador tira a máscara do assassino, revelando o rosto de Abigale.	dialogue	Abigale	Abigale
You just don't get it do you?	Você ainda não entendeu, não é?	dialogue	Abigale	Abigale
So big headed. So used to it all being about you. About you saving the day.	Tão presunçoso. Tão acostumado a ser tudo sobre você. Sobre você salvar o dia.	dialogue	Abigale	Abigale
Well I'm sick of it!	Bem, me cansei disso!	dialogue	Abigale	Abigale
Adventurers! You're all the same. Everything always has to be about you.	Aventureiros! Vocês são todos iguais. Tudo sempre tem que girar em torno de vocês.	dialogue	Abigale	Abigale
Of course you wouldn't! Because you can't see past yourself!	Claro que você não entende! Seu ego é grande demais para entender!	dialogue	Abigale	Abigale
Believe it or not... I used to be like you.	Acredite ou não... Eu costumava ser como você.	dialogue	Abigale	Abigale
I'd hear about some damsel in distress and go to help. To have my moment. For me to be the hero, just for once.	Há uma dama em perigo? Eu ajudo a salvá-la. Para ter meu momento. Para eu ser uma herói, pelo menos uma vez.	dialogue	Abigale	Abigale
But YOU! You and every other darned adventurer! Every time I get there to help, it's too late. Crisis solved. Disaster averted. Reward claimed. Every time you and those other adventurers steal my moment!	Mas VOCÊ! Você e os outros malditos aventureiros! Sempre que eu vou ajudar, já é tarde. Crise resolvida. Desastre evitado. Recompensa reivindicada. Em todos os momentos você e os outros roubam o meu momento!	dialogue	Abigale	Abigale
But not this time!	Mas não dessa vez!	dialogue	Abigale	Abigale
This time, it is all about me! I'm the star of the show! ME ME ME ME ME!	Dessa vez, tudo girará ao meu redor. Eu sou a estrela do show! EU EU EU EU EU!	dialogue	Abigale	Abigale
Oh, but there is always a curtain call.	Ah, mas sempre há um próximo.	dialogue	Abigale	Abigale
Another killer comes out of the closest near the door.	Outro assassino sai do armário perto da porta.	dialogue	Abigale	Abigale
Of course. Every good show needs a good supporting actor. Now, take off your mask darling. Take a bow. You have earned it.	É claro. Todo show que se preze tem um ator coadjuvante. Agora, tive sua máscara querido. Fique comigo, você mereceu.	dialogue	Abigale	Abigale
The killer unmasks himself, revealing Hewey as the culprit.	O assassino tira sua própria máscara, revelando o rosto de Hewey.	dialogue	Abigale	Abigale
Perhaps not, but neither did I deserve to be cast back into the shadows when I deserve the spotlight!	Talvez não, mas eu também não merecia ser jogada às sombras quando eu mereço ser a estrela maior!	dialogue	Abigale	Abigale
And now I have my starring role!	E agora eu tenho um momento para chamar de meu!	dialogue	Abigale	Abigale
Gielinor will forever remember this night and what I have done here.	Guilenor lembrará para sempre o que aconteceu nesta noite e o que eu fiz.	dialogue	Abigale	Abigale
Quiet Hewey! This is my moment!	Silêncio Hewey! Esse é o meu momento!	dialogue	Abigale	Abigale
Stop ruining this Hewey! I have worked so hard for this and I'm not going to let you take it away from me!	Pare de arruinar as coisas Hewey! Eu me dediquei muito para isso e não permitirei que você roube o meu momento de mim!	dialogue	Abigale	Abigale
We were never equals! How could you possibly compare to me!?	Nós nunca fomos iguais! Como você ousa se comparar a mim!?	dialogue	Abigale	Abigale
Abigale stabs Hewey.	Abigale esfaqueia Hewey.	dialogue	Abigale	Abigale
Hewey dies.	Hewey morre.	dialogue	Abigale	Abigale
No....no...what have I done!?	Não....não...o que eu fiz!?	dialogue	Abigale	Abigale
